Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_OnPrem_2,EMP_Sat_OnPrem_3,EMP_Sat_OnPrem_5,EMP_Sat_Remote_1,EMP_Sat_Remote_2,EMP_Sat_Remote_3,EMP_Sat_Remote_4,EMP_Sat_Remote_5,EMP_Engagement_1,EMP_Engagement_2,EMP_Engagement_3,EMP_Engagement_4,EMP_Engagement_5,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Work_Status2,Emp_Work_Status_3,Emp_Work_Status_4,Emp_Work_Status_5,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Emp_Competitive_1,Emp_Competitive_2,Emp_Competitive_3,Emp_Competitive_4,Emp_Competitive_5,Emp_Collaborative_1,Emp_Collaborative_2,Emp_Collaborative_3,Emp_Collaborative_4,Emp_Collaborative_5,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company
Finance,Level 2-4,0,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.64,5,234,2,1,0,medium,44,5,3,1,3,1,1,1,2,1,5,1,5,3,4,1,2,2,2,2548,78,9,0
Warehouse,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.82,5,265,5,0,0,medium,3,1,4,4,2,2,2,2,1,1,3,1,5,5,5,1,1,5,2,1514,85,7,1
Finance,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.8,3,137,5,0,0,low,8,1,5,5,3,2,4,3,2,4,2,3,2,1,5,1,5,2,3,4980,70,7,0
Sales,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.79,5,222,2,0,0,low,2,3,3,5,5,3,3,3,2,3,2,2,2,3,3,2,3,5,1,5953,78,9,0
Operations,Director,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.72,5,232,4,0,0,low,3,5,1,1,1,2,3,3,3,4,5,2,1,2,4,2,3,3,3,5447,80,4,0
Finance,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.81,5,217,2,0,0,medium,3,4,3,4,5,4,4,3,4,2,3,3,4,1,2,1,5,4,4,5925,75,5,0
Finance,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.47,2,159,3,0,0,low,50,2,1,5,2,1,2,2,2,2,3,1,3,3,4,2,5,3,1,1886,72,9,1
Sales,Senior Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.77,3,193,3,0,0,medium,1,5,5,5,1,4,2,3,2,2,1,4,5,5,2,2,3,3,2,5810,72,9,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.73,3,195,2,0,0,medium,8,2,4,2,5,2,3,2,4,2,3,4,2,4,2,1,3,1,1,4365,78,1,0
Finance,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.74,4,246,3,0,0,medium,7,5,4,4,2,2,3,2,3,2,4,2,3,1,3,2,3,2,5,4956,76,1,0
