Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company,EMP_Sat_OnPrem_mean,EMP_Sat_Remote_mean,EMP_Engagement_mean,Emp_Work_Status_mean,Emp_Competitive_mean,Emp_Collaborative_mean
Finance,Level 2-4,0,3,6,0.4,0.64,5,234,2,1,0,medium,44,1,1,1,2,2548,78,9,0,1.8,4.2,4.2,3.0,3.0,2.2
Warehouse,Level 2-4,0,3,6,0.8,0.82,5,265,5,0,0,medium,3,2,2,2,1,1514,85,7,1,3.5,4.2,1.8,2.8,3.0,2.8
Finance,Level 1,1,3,6,0.8,0.8,3,137,5,0,0,low,8,2,4,3,2,4980,70,7,0,3.5,4.2,4.2,3.5,2.4,3.2
Sales,Level 1,0,3,6,0.8,0.79,5,222,2,0,0,low,2,3,3,3,2,5953,78,9,0,3.5,4.2,4.2,4.0,2.4,2.8
Operations,Director,0,3,6,0.8,0.72,5,232,4,0,0,low,3,2,3,3,3,5447,80,4,0,3.5,4.2,4.2,2.0,2.8,3.0
Finance,Manager,1,3,6,0.8,0.81,5,217,2,0,0,medium,3,4,4,3,4,5925,75,5,0,3.5,4.2,4.2,4.0,2.6,3.2
Finance,Level 2-4,0,3,6,0.4,0.47,2,159,3,0,0,low,50,1,2,2,2,1886,72,9,1,3.8,2.4,1.8,2.5,2.4,3.0
Sales,Senior Manager,1,3,6,0.8,0.77,3,193,3,0,0,medium,1,4,2,3,2,5810,72,9,0,3.5,4.2,4.2,4.0,3.4,2.4
Warehouse,Level 2-4,1,3,6,0.8,0.73,3,195,2,0,0,medium,8,2,3,2,4,4365,78,1,0,3.5,4.2,4.2,3.2,3.0,1.6
Finance,Level 2-4,1,3,6,0.8,0.74,4,246,3,0,0,medium,7,2,3,2,3,4956,76,1,0,3.5,4.2,4.2,3.8,2.4,3.0
Human Resources,Level 2-4,1,3,6,0.4,0.64,4,201,3,0,0,low,46,1,2,1,2,3641,76,7,0,1.8,4.2,4.2,4.0,2.0,4.0
Finance,Level 2-4,0,3,6,0.8,0.9,3,144,2,0,0,medium,6,4,4,2,3,5983,79,3,0,3.5,4.2,4.2,3.8,3.4,3.2
Warehouse,Level 1,1,3,6,0.8,0.76,5,168,3,0,0,low,6,3,2,2,2,4088,75,9,0,3.5,4.2,4.2,4.2,3.0,2.6
Operations,Level 2-4,1,3,6,0.8,0.8,3,166,2,0,0,low,10,2,3,2,3,5258,77,3,0,3.5,4.2,4.2,3.5,3.4,2.8
Operations,Manager,1,3,6,0.5,0.67,2,255,3,0,0,low,59,1,1,2,1,1514,85,6,1,1.8,4.2,1.8,2.5,1.2,3.6
Finance,Level 2-4,1,3,6,0.4,0.65,3,199,2,0,0,low,46,1,2,1,1,2728,88,8,0,1.8,4.2,4.2,3.5,3.0,2.6
Sales,Level 2-4,0,3,6,0.8,0.95,6,271,4,0,0,low,3,1,2,2,2,1710,90,8,1,3.5,4.2,1.8,2.5,2.2,3.2
Operations,Senior Manager,0,3,6,0.4,0.39,2,118,4,0,0,medium,37,2,1,1,1,1397,64,10,0,3.8,2.4,4.2,3.0,2.2,2.6
IT,Level 2-4,1,3,6,0.4,0.56,3,257,6,0,0,medium,37,2,2,2,1,3304,76,8,0,3.8,2.4,4.2,4.5,2.6,3.0
