EMP_Sat_OnPrem_mean,Emp_Identity,Emp_Position,number_project,EMP_Engagement_mean,Sensor_Heartbeat(Average/Min),average_montly_hours,Emp_Role,time_spend_company,Emp_Title,EMP_Sat_Remote_mean,Emp_Competitive_mean,Sensor_StepCount,left_Company,salary,Work_accident
1.8,1,1,5,4.2,78,234,1,2,2,4.2,3.0,2548,0,medium,1
3.5,2,2,5,1.8,85,265,2,5,1,4.2,3.0,1514,1,medium,0
3.5,2,3,3,4.2,70,137,4,5,2,4.2,2.4,4980,0,low,0
3.5,3,3,5,4.2,78,222,3,2,2,4.2,2.4,5953,0,low,0
3.5,2,3,5,4.2,80,232,3,4,3,4.2,2.8,5447,0,low,0
3.5,4,3,5,4.2,75,217,4,2,4,4.2,2.6,5925,0,medium,0
3.8,1,2,2,1.8,72,159,2,3,2,2.4,2.4,1886,1,low,0
3.5,4,3,3,4.2,72,193,2,3,2,4.2,3.4,5810,0,medium,0
3.5,2,2,3,4.2,78,195,3,2,4,4.2,3.0,4365,0,medium,0
3.5,2,2,4,4.2,76,246,3,3,3,4.2,2.4,4956,0,medium,0
1.8,1,1,4,4.2,76,201,2,3,2,4.2,2.0,3641,0,low,0
3.5,4,2,3,4.2,79,144,4,2,3,4.2,3.4,5983,0,medium,0
3.5,3,2,5,4.2,75,168,2,3,2,4.2,3.0,4088,0,low,0
3.5,2,2,3,4.2,77,166,3,2,3,4.2,3.4,5258,0,low,0
1.8,1,2,2,1.8,85,255,1,3,1,4.2,1.2,1514,1,low,0
1.8,1,1,3,4.2,88,199,2,2,1,4.2,3.0,2728,0,low,0
3.5,1,2,6,1.8,90,271,2,4,2,4.2,2.2,1710,1,low,0
3.8,2,1,2,4.2,64,118,1,4,1,2.4,2.2,1397,0,medium,0
3.8,2,2,3,4.2,76,257,2,6,1,2.4,2.6,3304,0,medium,0
3.5,4,5,3,4.2,80,262,5,7,2,4.2,2.0,5985,0,high,1
1.8,2,2,3,4.2,90,185,1,2,1,4.2,3.4,3864,0,high,0
3.8,2,2,4,4.2,85,182,2,3,1,4.2,2.2,3943,0,low,0
3.8,2,1,4,4.2,76,217,2,6,2,2.4,3.0,3974,0,low,0
3.8,2,2,4,4.2,78,223,1,2,2,2.4,2.2,3645,0,low,0
3.5,4,2,3,4.2,77,194,3,2,2,4.2,2.4,5931,0,medium,0
3.5,4,3,5,4.2,75,255,2,2,4,4.2,2.8,4604,0,medium,0
3.5,4,5,3,4.2,78,229,2,7,2,4.2,3.8,5075,0,high,0
3.5,2,1,6,1.8,88,271,1,4,1,4.2,2.6,1934,1,low,0
1.8,2,1,2,4.2,66,174,1,3,1,4.2,2.6,1358,0,medium,0
3.8,1,1,5,4.2,88,185,1,3,1,2.4,2.6,3653,0,low,0
3.5,3,3,3,4.2,76,189,4,2,3,4.2,2.2,4690,0,low,0
3.8,2,2,2,1.8,65,148,2,3,1,2.4,3.4,1776,1,low,0
3.8,1,2,3,4.2,77,201,1,3,2,2.4,2.2,2040,0,medium,0
3.8,1,2,2,1.8,66,159,2,3,2,2.4,2.0,1458,1,low,0
3.8,1,2,4,4.2,86,187,1,3,1,2.4,3.2,2207,0,low,0
3.8,2,1,5,4.2,79,216,1,3,1,2.4,2.0,2146,0,low,0
3.8,2,2,4,4.2,88,192,2,3,1,2.4,2.6,3872,0,high,0
3.8,2,2,2,1.8,72,156,2,3,2,2.4,3.6,1659,1,low,0
3.5,3,3,3,4.2,77,223,3,7,2,4.2,3.0,4439,0,high,0
3.5,4,3,4,4.2,74,146,4,10,3,4.6,3.4,4152,0,low,0
3.8,1,2,3,4.2,71,159,1,3,2,2.4,2.8,1127,0,medium,0
3.5,3,3,2,4.2,80,240,4,5,3,4.2,3.2,4138,0,low,0
