EMP_Sat_OnPrem_mean,last_evaluation,Emp_Identity,Emp_Position,LinkedIn_Hits,number_project,Sensor_Proximity(1-highest/10-lowest),EMP_Engagement_mean,Sensor_Heartbeat(Average/Min),Percent_Remote,average_montly_hours,Emp_Role,time_spend_company,Emp_Title,EMP_Sat_Remote_mean,Emp_Competitive_mean,Sensor_StepCount,promotion_last_5years,left_Company,Work_accident
1.8,0.64,1,1,44,5,9,4.2,78,0.4,234,1,2,2,4.2,3.0,2548,0,0,1
3.5,0.82,2,2,3,5,7,1.8,85,0.8,265,2,5,1,4.2,3.0,1514,0,1,0
3.5,0.8,2,3,8,3,7,4.2,70,0.8,137,4,5,2,4.2,2.4,4980,0,0,0
3.5,0.79,3,3,2,5,9,4.2,78,0.8,222,3,2,2,4.2,2.4,5953,0,0,0
3.5,0.72,2,3,3,5,4,4.2,80,0.8,232,3,4,3,4.2,2.8,5447,0,0,0
3.5,0.81,4,3,3,5,5,4.2,75,0.8,217,4,2,4,4.2,2.6,5925,0,0,0
3.8,0.47,1,2,50,2,9,1.8,72,0.4,159,2,3,2,2.4,2.4,1886,0,1,0
3.5,0.77,4,3,1,3,9,4.2,72,0.8,193,2,3,2,4.2,3.4,5810,0,0,0
3.5,0.73,2,2,8,3,1,4.2,78,0.8,195,3,2,4,4.2,3.0,4365,0,0,0
3.5,0.74,2,2,7,4,1,4.2,76,0.8,246,3,3,3,4.2,2.4,4956,0,0,0
1.8,0.64,1,1,46,4,7,4.2,76,0.4,201,2,3,2,4.2,2.0,3641,0,0,0
3.5,0.9,4,2,6,3,3,4.2,79,0.8,144,4,2,3,4.2,3.4,5983,0,0,0
3.5,0.76,3,2,6,5,9,4.2,75,0.8,168,2,3,2,4.2,3.0,4088,0,0,0
3.5,0.8,2,2,10,3,3,4.2,77,0.8,166,3,2,3,4.2,3.4,5258,0,0,0
1.8,0.67,1,2,59,2,6,1.8,85,0.5,255,1,3,1,4.2,1.2,1514,0,1,0
1.8,0.65,1,1,46,3,8,4.2,88,0.4,199,2,2,1,4.2,3.0,2728,0,0,0
3.5,0.95,1,2,3,6,8,1.8,90,0.8,271,2,4,2,4.2,2.2,1710,0,1,0
3.8,0.39,2,1,37,2,10,4.2,64,0.4,118,1,4,1,2.4,2.2,1397,0,0,0
3.8,0.56,2,2,37,3,8,4.2,76,0.4,257,2,6,1,2.4,2.6,3304,0,0,0
3.5,0.78,4,5,5,3,7,4.2,80,0.8,262,5,7,2,4.2,2.0,5985,1,0,1
1.8,0.65,2,2,49,3,7,4.2,90,0.5,185,1,2,1,4.2,3.4,3864,0,0,0
3.8,0.61,2,2,58,4,6,4.2,85,0.4,182,2,3,1,4.2,2.2,3943,0,0,0
3.8,0.52,2,1,61,4,6,4.2,76,0.4,217,2,6,2,2.4,3.0,3974,0,0,0
3.8,0.51,2,2,57,4,6,4.2,78,0.4,223,1,2,2,2.4,2.2,3645,0,0,0
3.5,0.87,4,2,1,3,2,4.2,77,0.8,194,3,2,2,4.2,2.4,5931,0,0,0
3.5,0.74,4,3,1,5,9,4.2,75,0.8,255,2,2,4,4.2,2.8,4604,0,0,0
3.5,0.74,4,5,4,3,6,4.2,78,0.8,229,2,7,2,4.2,3.8,5075,1,0,0
3.5,0.95,2,1,6,6,2,1.8,88,0.8,271,1,4,1,4.2,2.6,1934,0,1,0
1.8,0.69,2,1,12,2,10,4.2,66,0.5,174,1,3,1,4.2,2.6,1358,0,0,0
3.8,0.49,1,1,9,5,7,4.2,88,0.4,185,1,3,1,2.4,2.6,3653,0,0,0
3.5,0.78,3,3,9,3,5,4.2,76,0.8,189,4,2,3,4.2,2.2,4690,0,0,0
3.8,0.48,2,2,29,2,7,1.8,65,0.4,148,2,3,1,2.4,3.4,1776,0,1,0
3.8,0.58,1,2,5,3,8,4.2,77,0.4,201,1,3,2,2.4,2.2,2040,0,0,0
3.8,0.52,1,2,38,2,9,1.8,66,0.4,159,2,3,2,2.4,2.0,1458,0,1,0
3.8,0.59,1,2,61,4,10,4.2,86,0.4,187,1,3,1,2.4,3.2,2207,0,0,0
3.8,0.57,2,1,40,5,10,4.2,79,0.4,216,1,3,1,2.4,2.0,2146,0,0,0
3.8,0.57,2,2,20,4,8,4.2,88,0.4,192,2,3,1,2.4,2.6,3872,0,0,0
3.8,0.46,2,2,10,2,8,1.8,72,0.4,156,2,3,2,2.4,3.6,1659,0,1,0
3.5,0.87,3,3,5,3,8,4.2,77,0.8,223,3,7,2,4.2,3.0,4439,0,0,0
3.5,0.98,4,3,3,4,7,4.2,74,0.8,146,4,10,3,4.6,3.4,4152,0,0,0
3.8,0.56,1,2,32,3,7,4.2,71,0.4,159,1,3,2,2.4,2.8,1127,0,0,0
3.5,0.72,3,3,7,2,6,4.2,80,0.8,240,4,5,3,4.2,3.2,4138,0,0,0
3.8,0.55,1,1,21,2,7,1.8,62,0.4,135,2,3,1,2.4,2.4,1535,0,1,0
3.8,0.57,1,1,23,4,6,4.2,75,0.4,266,2,3,2,2.4,2.0,3775,0,0,0
3.5,0.84,3,4,9,3,9,4.2,75,0.8,240,3,7,3,4.2,4.4,5525,0,0,0
3.5,1.0,2,2,4,5,3,1.8,87,0.8,218,1,5,2,4.6,2.8,1433,0,1,0
3.5,0.79,4,3,10,5,9,4.2,80,0.8,271,4,4,3,4.2,3.2,4305,0,0,0
3.8,0.5,2,1,5,3,10,4.2,79,0.4,262,1,5,1,2.4,2.0,2451,0,0,0
3.5,0.9,2,2,6,4,1,1.8,85,0.8,226,2,5,2,4.2,2.2,1723,0,1,0
3.8,0.44,1,2,47,5,8,4.2,79,0.4,255,2,5,1,2.4,2.4,3598,0,0,1
1.8,0.62,1,1,22,4,6,4.2,78,0.4,217,2,2,2,4.2,2.8,2138,0,0,0
3.8,0.49,2,2,1,3,6,4.2,79,0.4,268,2,3,2,2.4,2.0,2648,0,0,0
3.5,0.85,4,2,9,4,2,4.2,70,0.8,180,2,4,4,4.2,2.2,4329,0,0,0
3.5,0.97,2,2,4,4,4,4.2,80,0.8,237,3,5,3,4.6,3.4,4917,0,0,0
1.8,0.68,2,2,37,5,6,4.2,80,0.5,203,1,2,2,4.2,2.6,3531,0,0,0
3.5,0.72,3,3,8,4,2,4.2,79,0.8,214,3,2,2,4.2,2.0,4512,0,0,1
3.8,0.57,2,1,12,2,6,1.8,73,0.4,151,2,3,1,2.4,2.8,1562,0,1,1
3.8,0.52,1,2,11,2,8,1.8,75,0.4,127,2,3,2,2.4,3.6,1561,0,1,1
3.8,0.46,2,2,34,2,10,1.8,75,0.4,150,1,3,1,2.4,2.0,1492,0,1,1
3.8,0.54,1,2,4,4,8,4.2,75,0.4,210,2,3,2,2.4,2.2,2372,0,0,0
3.8,0.56,2,1,39,2,6,1.8,67,0.4,131,1,3,1,2.4,3.0,1512,0,1,0
3.5,0.95,3,3,10,5,1,4.2,75,0.8,137,4,3,3,4.2,3.2,4641,0,0,0
3.8,0.36,2,2,7,4,6,4.2,86,0.4,128,2,4,1,2.4,1.6,1940,0,0,0
1.8,0.63,2,1,59,5,7,4.2,78,0.4,229,2,2,2,4.2,2.6,3844,0,0,0
3.8,0.54,1,1,5,4,10,4.2,86,0.4,198,2,3,2,2.4,2.2,3709,0,0,0
3.8,0.52,2,2,29,4,6,4.2,89,0.4,178,1,3,1,2.4,3.0,1273,0,0,0
3.8,0.61,1,1,36,5,9,4.2,80,0.4,254,1,5,2,4.2,2.6,2039,0,0,0
3.5,0.8,3,3,10,4,9,4.2,74,0.8,113,4,3,4,4.2,3.6,4053,0,0,0
1.8,0.62,1,1,2,3,7,4.2,65,0.4,147,1,3,1,4.2,1.6,1307,0,0,0
3.8,0.5,2,1,54,2,8,4.2,64,0.4,150,1,6,2,2.4,1.6,1481,0,0,0
3.5,0.9,4,2,2,5,7,4.2,79,0.8,266,4,3,3,4.2,3.8,5260,0,0,0
0.0,1.0,1,1,10,5,4,1.8,88,0.8,229,1,5,2,4.6,2.6,1951,0,1,0
3.5,0.83,4,2,6,3,8,4.2,79,0.8,226,3,2,4,4.2,2.0,4946,0,0,0
3.5,0.94,2,3,5,6,2,4.2,75,0.8,144,4,4,3,4.2,2.4,4631,0,0,0
3.5,0.86,3,3,6,4,3,4.2,75,0.8,181,3,3,2,4.2,3.4,5964,0,0,0
1.8,0.68,2,2,13,4,8,4.2,77,0.5,238,1,3,2,4.2,2.6,2042,0,0,0
3.5,0.95,3,2,3,6,7,4.2,78,0.8,248,3,3,2,4.2,2.8,5709,0,0,0
1.8,0.64,2,1,12,2,6,4.2,75,0.4,211,2,3,1,4.2,2.2,3296,0,0,0
3.5,0.96,3,3,6,3,4,4.2,80,0.8,268,2,4,3,4.2,3.6,4415,0,0,0
3.5,0.7,2,3,8,6,2,4.2,78,0.8,141,3,3,3,4.2,3.2,5031,0,0,1
3.5,0.82,4,3,4,5,6,4.2,72,0.8,158,2,2,2,4.2,3.0,5736,0,0,0
1.8,0.67,1,2,53,5,8,4.2,86,0.5,133,2,10,1,4.2,2.6,1674,0,0,0
1.8,0.7,2,1,47,3,6,4.2,88,0.5,195,2,3,2,4.2,2.6,2439,0,0,0
3.5,0.97,4,3,4,3,4,4.2,76,0.8,263,3,3,4,4.6,3.4,4616,0,0,0
3.8,0.48,2,1,7,5,8,4.2,76,0.4,273,2,2,2,2.4,2.8,2796,0,0,0
3.8,0.6,2,1,9,3,9,4.2,86,0.4,188,1,3,1,4.2,2.4,3206,0,0,0
3.5,0.88,2,2,3,6,5,4.2,78,0.8,183,2,4,4,4.2,3.6,4842,0,0,0
3.5,0.9,1,2,9,7,1,1.8,86,0.8,281,2,4,2,4.2,3.0,1235,0,1,0
3.5,0.78,5,5,5,3,2,4.2,76,0.8,206,5,3,3,4.2,3.8,4022,1,0,1
3.8,0.56,1,2,55,4,7,4.2,79,0.4,272,2,3,1,2.4,3.0,3537,0,0,0
3.5,0.88,2,1,9,6,2,1.8,85,0.8,284,2,4,2,4.2,3.0,1436,0,1,0
3.5,0.7,2,2,5,4,9,4.2,78,0.8,225,3,5,3,4.2,2.6,5060,0,0,0
3.5,0.8,1,2,9,6,5,1.8,89,0.8,304,1,4,1,4.2,1.8,1392,0,1,0
3.5,0.91,2,2,7,4,7,1.8,89,0.8,229,1,5,2,4.2,3.0,1049,0,1,0
3.5,0.94,2,4,5,4,9,4.2,80,0.8,184,2,7,2,4.2,3.8,5920,0,0,0
3.5,0.78,1,1,4,2,6,1.8,86,0.8,198,2,2,1,4.2,1.6,1913,0,1,0
3.5,0.89,2,3,10,2,3,4.2,70,0.8,173,2,3,2,4.2,3.8,4736,0,0,0
3.5,0.86,4,2,10,4,2,4.2,75,0.8,250,3,3,2,4.2,2.8,4316,0,0,0
3.8,0.47,1,2,19,2,8,1.8,66,0.4,151,2,3,2,2.4,2.0,7148,0,1,0
3.8,0.39,1,1,49,6,6,4.2,76,0.4,246,2,4,1,2.4,3.4,2846,0,0,0
3.5,0.87,1,1,4,5,9,1.8,88,0.8,258,1,5,1,4.2,1.8,1665,0,1,0
3.5,0.93,1,2,5,6,5,1.8,86,0.8,279,2,4,2,4.2,2.6,1241,0,1,0
1.8,0.66,1,2,48,4,6,4.2,88,0.5,150,2,3,1,4.2,1.8,1193,0,0,0
3.5,0.81,3,3,2,3,7,4.2,78,0.8,249,3,2,3,4.2,2.2,5572,0,0,0
3.8,0.53,1,1,46,5,7,4.2,90,0.4,169,1,3,2,2.4,2.2,1285,0,0,0
3.8,0.55,1,2,25,4,8,4.2,75,0.4,269,1,3,1,2.4,2.0,3583,0,0,0
1.8,0.67,1,2,33,3,7,4.2,75,0.5,264,2,2,2,4.2,1.8,2021,0,0,0
3.8,0.6,1,2,37,2,8,4.2,71,0.4,163,1,3,1,4.2,1.8,1079,0,0,0
3.8,0.48,4,1,5,4,7,4.2,88,0.4,117,1,10,2,2.4,1.6,1587,1,0,0
3.8,0.55,2,2,30,4,6,4.2,80,0.4,270,1,3,2,2.4,2.6,2526,0,0,1
3.5,0.84,1,2,7,5,7,1.8,87,0.8,257,1,5,1,4.2,2.4,1565,0,1,0
3.5,0.93,4,4,7,4,6,4.2,79,0.8,233,3,3,3,4.2,2.6,5604,0,0,0
1.8,0.69,1,2,60,5,8,4.2,76,0.5,273,1,3,1,4.2,2.4,3384,0,0,1
3.5,0.7,4,2,10,3,2,4.2,77,0.8,123,3,5,3,4.2,2.8,4231,0,0,0
3.5,0.72,2,4,7,4,4,4.2,71,0.8,154,3,4,2,4.2,3.2,4938,0,0,0
3.8,0.52,2,2,11,4,9,4.2,76,0.4,267,1,2,1,2.4,2.8,3648,0,0,0
1.8,0.65,2,1,50,3,10,4.2,80,0.4,241,1,3,2,4.2,2.6,3074,0,0,0
3.5,0.84,3,3,7,5,4,4.2,70,0.8,189,3,5,2,4.2,2.8,4869,0,0,0
1.8,0.66,1,1,64,4,10,4.2,90,0.5,139,2,3,1,4.2,1.6,1415,0,0,0
3.8,0.45,1,1,39,2,9,1.8,73,0.4,131,2,3,2,2.4,2.0,1671,0,1,0
1.8,0.69,2,1,42,3,9,4.2,86,0.5,187,2,4,2,4.2,2.4,3621,0,0,0
3.8,0.54,1,2,22,7,6,1.8,85,0.4,278,1,3,1,2.4,2.2,1946,0,1,0
3.5,0.78,1,1,9,7,2,1.8,89,0.8,290,1,4,2,4.2,2.6,1885,0,1,0
3.5,0.87,4,2,7,4,4,4.2,76,0.8,162,3,4,2,4.2,3.0,5294,0,0,0
